mo,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_
01,34.563306451612874,25.862096774193567,1017.1383064516125,8.36088709677419,12.281048387,19.810483871,233.30766129032244,42.596774194,26.511693548,0.12241935483870978,999.9,0.201612903
02,34.810132158590307,26.353303964757711,1056.4008810572689,8.1497797356828166,11.973127753,19.816740088,256.27356828193848,42.762114537,26.848898678,1.0247136563876651,999.9,0.273127753
03,37.303345724907061,27.559851301115224,1717.4111524163561,8.604832713754643,12.714126394,19.88401487,195.21635687732339,44.776579926,29.648327138,4.57368029739777,999.9,0.167286245
04,45.635573122529685,37.063636363636348,1477.8498023715408,8.4280632411067149,11.756126482,18.966007905,258.62055335968392,53.937549407,38.241106719,2.1009881422924903,999.9,0.213438735
05,54.174999999999969,47.359090909090888,1561.0075757575771,8.011363636363626,10.197727273,16.403030303,371.97462121212106,62.770075758,47.214772727,2.7489393939393927,999.9,0.333333333
06,62.299596774193546,56.395161290322591,1304.4350806451628,7.7858870967741955,9.122983871,14.775806452,551.57177419354809,70.740322581,55.243548387,2.5166532258064507,999.9,0.39516129
07,70.391397849462365,100.48136200716844,1015.1620071684592,7.4491039426523331,7.783154122,13.344802867,653.23189964157723,78.54516129,63.201433692,2.2204659498207886,999.9,0.437275986
08,70.5329749103943,64.587455197132613,1016.0182795698922,8.2290322580645228,7.680645161,13.317562724,649.76057347670189,78.596415771,62.770967742,2.581326164874552,999.9,0.35483871
09,65.512222222222235,58.752222222222244,1051.7033333333341,8.5499999999999989,8.822222222,22.348888889,461.49148148148157,73.466666667,57.367037037,2.6928518518518523,999.9,0.244444444
10,57.467741935483865,50.026881720430133,1017.3845878136194,8.8121863799283116,10.291397849,17.263082437,355.2275985663083,64.71218638,49.711469534,0.17193548387096785,999.9,0.143369176
11,47.338888888888853,37.779629629629646,1018.5355555555559,8.9855555555555551,11.048888889,22.655555556,284.67444444444459,55.583703704,39.327777778,0.13944444444444448,996.211111111111,0.118518519
12,40.597132616487436,32.278136200716844,1049.8802867383517,8.4422939068100273,10.629390681,18.443010753,229.89175627240147,48.556630824,32.625806452,0.1657347670250896,999.9,0.17562724